Case 1:
47 1 0
Case 2:
5 1 0
57 1 0
8 1 0
73 1 0
2 1 0
5 1 0
35 1 0
73 1 0
55 1 0
0 0 0
3 1 0
83 1 0
3 1 0
126 1 0
3 1 0
63 1 0
3 1 0
5 1 0
5 1 0
3 1 0
7 1 0
6 1 0
68 1 0
1 1 0
4 1 0
8 1 0
74 1 0
75 1 0
3 1 0
50 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
Case 3:
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
